Data;Último
03/02/2020;114629
31/01/2020;113761
30/01/2020;115528
29/01/2020;115385
28/01/2020;116479
27/01/2020;114482
24/01/2020;118376
23/01/2020;119528
22/01/2020;118391
21/01/2020;117026
20/01/2020;118862
17/01/2020;118478
16/01/2020;116704
15/01/2020;116414
14/01/2020;117632
13/01/2020;117325
10/01/2020;115503
09/01/2020;115947
08/01/2020;116247
07/01/2020;116662
06/01/2020;116878
03/01/2020;117707
02/01/2020;118573
30/12/2019;115964
27/12/2019;116534
26/12/2019;117203
23/12/2019;115863
20/12/2019;115121
19/12/2019;115131
18/12/2019;114315
17/12/2019;112616
16/12/2019;111896
13/12/2019;112565
12/12/2019;112200
11/12/2019;110964
10/12/2019;110672
09/12/2019;110977
06/12/2019;111126
05/12/2019;110622
04/12/2019;110301
03/12/2019;108956
02/12/2019;109061
29/11/2019;108233
28/11/2019;108290
27/11/2019;107708
26/11/2019;107059
25/11/2019;108424
22/11/2019;108692
21/11/2019;107497
19/11/2019;105618
18/11/2019;106347
14/11/2019;106557
13/11/2019;105914
12/11/2019;106785
11/11/2019;108215
08/11/2019;107629
07/11/2019;109581
06/11/2019;108336
05/11/2019;108451
04/11/2019;108601
01/11/2019;108196
31/10/2019;107220
30/10/2019;108408
29/10/2019;107556
28/10/2019;108187
25/10/2019;107364
24/10/2019;106986
23/10/2019;107544
22/10/2019;107381
21/10/2019;106022
18/10/2019;104729
17/10/2019;105016
16/10/2019;105423
15/10/2019;104490
14/10/2019;104302
11/10/2019;103832
10/10/2019;101817
09/10/2019;101249
08/10/2019;99981
07/10/2019;100573
04/10/2019;102551
03/10/2019;101516
02/10/2019;101031
01/10/2019;104053
30/09/2019;104745
27/09/2019;105078
26/09/2019;105319
25/09/2019;104481
24/09/2019;103876
23/09/2019;104638
20/09/2019;104817
19/09/2019;104339
18/09/2019;104532
17/09/2019;104617
16/09/2019;103680
13/09/2019;103501
12/09/2019;104371
11/09/2019;103446
10/09/2019;103032
09/09/2019;103181
06/09/2019;102935
05/09/2019;102243
04/09/2019;101201
03/09/2019;99681
02/09/2019;100626
30/08/2019;101135
29/08/2019;100524
28/08/2019;98194
27/08/2019;97276
26/08/2019;96430
23/08/2019;97667
22/08/2019;100011
21/08/2019;101202
20/08/2019;99222
19/08/2019;99469
16/08/2019;99806
15/08/2019;99057
14/08/2019;100258
13/08/2019;103299
12/08/2019;101915
09/08/2019;103996
08/08/2019;104115
07/08/2019;102782
06/08/2019;102164
05/08/2019;100098
02/08/2019;102674
01/08/2019;102126
31/07/2019;101812
30/07/2019;102933
29/07/2019;103483
26/07/2019;102819
25/07/2019;102655
24/07/2019;104120
23/07/2019;103704
22/07/2019;103949
19/07/2019;103452
18/07/2019;104717
17/07/2019;103856
16/07/2019;103775
15/07/2019;103803
12/07/2019;103906
11/07/2019;105146
10/07/2019;105817
08/07/2019;104530
05/07/2019;104089
04/07/2019;103636
03/07/2019;102043
02/07/2019;100605
01/07/2019;101340
28/06/2019;100967
27/06/2019;100724
26/06/2019;100689
25/06/2019;100093
24/06/2019;102062
21/06/2019;102013
19/06/2019;100303
18/06/2019;99404
17/06/2019;97623
14/06/2019;98040
13/06/2019;98774
12/06/2019;98321
11/06/2019;98960
10/06/2019;97467
07/06/2019;97821
06/06/2019;97205
05/06/2019;95999
04/06/2019;97380
03/06/2019;97020
31/05/2019;97030
30/05/2019;97457
29/05/2019;96567
28/05/2019;96393
27/05/2019;94864
24/05/2019;93628
23/05/2019;93910
22/05/2019;94361
21/05/2019;94485
20/05/2019;91946
17/05/2019;89993
16/05/2019;90024
15/05/2019;91623
14/05/2019;92092
13/05/2019;91727
10/05/2019;94258
09/05/2019;94808
08/05/2019;95597
07/05/2019;94389
06/05/2019;95009
03/05/2019;96008
02/05/2019;95528
30/04/2019;96353
29/04/2019;96188
26/04/2019;96236
25/04/2019;96552
24/04/2019;95045
23/04/2019;95923
22/04/2019;94588
18/04/2019;94578
17/04/2019;93285
16/04/2019;94333
15/04/2019;93083
12/04/2019;92875
11/04/2019;94755
10/04/2019;95953
09/04/2019;96292
08/04/2019;97369
05/04/2019;97108
04/04/2019;96313
03/04/2019;94491
02/04/2019;95387
01/04/2019;96054
29/03/2019;95415
28/03/2019;94389
27/03/2019;91903
26/03/2019;95307
25/03/2019;93662
22/03/2019;93735
21/03/2019;96729
20/03/2019;98041
19/03/2019;99588
18/03/2019;99994
15/03/2019;99137
14/03/2019;98605
13/03/2019;98904
12/03/2019;97828
11/03/2019;98027
08/03/2019;95365
07/03/2019;94340
06/03/2019;94217
01/03/2019;94604
28/02/2019;95584
27/02/2019;97307
26/02/2019;97603
25/02/2019;97240
22/02/2019;97886
21/02/2019;96932
20/02/2019;96545
19/02/2019;97659
18/02/2019;96510
15/02/2019;97526
14/02/2019;98015
13/02/2019;95842
12/02/2019;96168
11/02/2019;94413
08/02/2019;95343
07/02/2019;94406
06/02/2019;94636
05/02/2019;98311
04/02/2019;98589
01/02/2019;97861
31/01/2019;97394
30/01/2019;96996
29/01/2019;95639
28/01/2019;95444
24/01/2019;97677
23/01/2019;96558
22/01/2019;95103
21/01/2019;96010
18/01/2019;96097
17/01/2019;95351
16/01/2019;94393
15/01/2019;94056
14/01/2019;94474
11/01/2019;93658
10/01/2019;93806
09/01/2019;93613
08/01/2019;92032
07/01/2019;91699
04/01/2019;91841
03/01/2019;91564
02/01/2019;91012
28/12/2018;87887
27/12/2018;85460
26/12/2018;85136
21/12/2018;85697
20/12/2018;85269
19/12/2018;85674
18/12/2018;86610
17/12/2018;86400
14/12/2018;87450
13/12/2018;87838
12/12/2018;86977
11/12/2018;86420
10/12/2018;85915
07/12/2018;88115
06/12/2018;88846
05/12/2018;89040
04/12/2018;88624
03/12/2018;89820
30/11/2018;89504
29/11/2018;89710
28/11/2018;89251
27/11/2018;87891
26/11/2018;85547
23/11/2018;86230
22/11/2018;87477
21/11/2018;87269
19/11/2018;87901
16/11/2018;88515
14/11/2018;85973
13/11/2018;84914
12/11/2018;85525
09/11/2018;85641
08/11/2018;85620
07/11/2018;87714
06/11/2018;88669
05/11/2018;89598
01/11/2018;88419
31/10/2018;87424
30/10/2018;86886
29/10/2018;83797
26/10/2018;85720
25/10/2018;84084
24/10/2018;83064
23/10/2018;85300
22/10/2018;85597
19/10/2018;84220
18/10/2018;83847
17/10/2018;85764
16/10/2018;85718
15/10/2018;83360
11/10/2018;82921
10/10/2018;83679
09/10/2018;86088
08/10/2018;86084
05/10/2018;82322
04/10/2018;82953
03/10/2018;83273
02/10/2018;81612
01/10/2018;78624
28/09/2018;79342
27/09/2018;80000
26/09/2018;78656
25/09/2018;78630
24/09/2018;77984
21/09/2018;79444
20/09/2018;78116
19/09/2018;78169
18/09/2018;78314
17/09/2018;76789
14/09/2018;75429
13/09/2018;74687
12/09/2018;75125
11/09/2018;74657
10/09/2018;76436
06/09/2018;76416
05/09/2018;75092
04/09/2018;74712
03/09/2018;76193
31/08/2018;76678
30/08/2018;76404
29/08/2018;78389
28/08/2018;77473
27/08/2018;77930
24/08/2018;76262
23/08/2018;75634
22/08/2018;76902
21/08/2018;75180
20/08/2018;76328
17/08/2018;76029
16/08/2018;76819
15/08/2018;77078
14/08/2018;78602
13/08/2018;77496
10/08/2018;76514
09/08/2018;78768
08/08/2018;79152
07/08/2018;80347
06/08/2018;81051
03/08/2018;81435
02/08/2018;79637
01/08/2018;79302
31/07/2018;79220
30/07/2018;80276
27/07/2018;79866
26/07/2018;79405
25/07/2018;80218
24/07/2018;79155
23/07/2018;77996
20/07/2018;78571
19/07/2018;77487
18/07/2018;77363
17/07/2018;78130
16/07/2018;76653
13/07/2018;76594
12/07/2018;75856
11/07/2018;74399
10/07/2018;74862
06/07/2018;75010
05/07/2018;74553
04/07/2018;74743
03/07/2018;73668
02/07/2018;72840
29/06/2018;72763
28/06/2018;71767
27/06/2018;70609
26/06/2018;71405
25/06/2018;70953
22/06/2018;70641
21/06/2018;70075
20/06/2018;72123
19/06/2018;71394
18/06/2018;69815
15/06/2018;70758
14/06/2018;71421
13/06/2018;72122
12/06/2018;72754
11/06/2018;72308
08/06/2018;72942
07/06/2018;73851
06/06/2018;76117
05/06/2018;76642
04/06/2018;78596
01/06/2018;77240
30/05/2018;76754
29/05/2018;76072
28/05/2018;75356
25/05/2018;78898
24/05/2018;80122
23/05/2018;80867
22/05/2018;82739
21/05/2018;81815
18/05/2018;83082
17/05/2018;83622
16/05/2018;86537
15/05/2018;85130
14/05/2018;85232
11/05/2018;85220
10/05/2018;85861
